,0
1731,49.31
1732,17.82
1733,0.0
1734,12.5
1735,42.7
1736,45.72
1737,97.1
1738,41.1
1739,0.0
1740,39.27
1741,57.19
1742,141.94
1743,31.46
1744,19.64
1745,16.02
1746,57.06
1747,8.81
1748,22.73
1749,25.3
1750,56.9
1751,97.04
1752,22.79
1753,49.83
1754,27.34
1755,44.47
1756,206.32
1757,20.88
1758,88.96
1759,17.23
1760,21.05
1761,11.38
1762,13.25
1763,320.8
1764,12.44
1765,19.22
1766,36.98
1767,0.0
1768,29.62
1769,30.69
1770,141.84
1771,42.91
1772,0.0
1773,23.71
1774,104.0
1775,29.1
1776,31.23
1777,216.98
1778,31.66
1779,16.39
1780,28.54
1781,118.71
1782,334.37
1783,23.56
1784,11.01
1785,61.85
1786,0.0
1787,59.26
1788,15.45
1789,17.96
1790,114.07
1791,89.72
1792,38.61
1793,65.19
1794,21.39
1795,12.31
1796,17.98
1797,36.68
1798,49.84
1799,63.7
1800,369.74
1801,32.69
1802,0.0
1803,17.83
1804,1992.81
1805,24.94
1806,24.09
1807,13.62
1808,113.03
1809,90.58
1810,39.92
1811,15.13
1812,90.81
1813,52.01
1814,11.86
1815,0.0
1816,9.82
1817,108.66
1818,27.54
1819,23.81
1820,20.53
1821,33.55
1822,22.63
1823,253.86
1824,37.42
1825,1071.1
1826,7.21
1827,22.21
1828,29.68
1829,25.79
1830,24.22
1831,8.44
1832,18.19
1833,5.83
1834,20.71
1835,631.24
1836,14.86
1837,291.91
1838,13.11
1839,10.33
1840,0.0
1841,0.0
1842,65.32
1843,0.0
1844,20.47
1845,46.84
1846,0.0
1847,43.18
1848,25.21
1849,35.46
1850,26.49
1851,97.97
1852,5.29
1853,19.59
1854,0.0
1855,41.13
1856,40.42
1857,32.88
1858,50.53
1859,8.97
1860,29.79
1861,270.61
1862,17.97
1863,329.75
1864,0.0
1865,7.81
1866,12.38
1867,19.42
1868,65.32
1869,21.08
1870,46.9
1871,19.51
1872,30.44
1873,92.76
1874,0.0
1875,20.35
1876,43.0
1877,231.82
1878,31.09
1879,354.78
1880,584.36
1881,8.76
1882,18.94
1883,51.29
1884,90.53
1885,14.14
1886,9.63
1887,38.32
1888,23.35
1889,6.57
1890,0.0
1891,0.0
1892,87.13
1893,17.98
1894,24.44
1895,0.0
1896,55.47
1897,35.87
1898,0.0
1899,14.16
1900,8.66
1901,14.6
1902,40.06
1903,8.02
1904,31.09
1905,14.74
1906,379.13
1907,231.33
1908,59.31
1909,0.0
1910,16.7
1911,59.83
1912,0.0
1913,24.17
1914,16.44
1915,275.21
1916,102.28
1917,0.0
1918,16.39
1919,0.0
1920,21.01
1921,44.96
1922,518.33
1923,17.9
1924,227.81
1925,16.87
1926,77.49
1927,219.59
1928,17.62
1929,0.0
1930,19.48
1931,15.91
1932,38.53
1933,86.13
1934,0.0
1935,0.0
1936,7.62
1937,18.62
1938,5547.67
1939,5.91
1940,0.0
1941,28.42
1942,39.99
1943,12.42
1944,8.42
1945,127.66
1946,83.58
1947,19.34
1948,0.0
1949,26.38
1950,4.71
1951,7.11
1952,15.65
1953,806.21
1954,9.79
1955,17.73
1956,28.69
1957,19.83
1958,70.18
1959,36.34
1960,85.26
